аграрный аграрного
агримониина агримониин
альтернативный альтернативные
атлас атлас
бакина бакин
белые белые
боковой боковые
бурый бурое
верхний верхний верхняя
вес веса
вещество вещества
витаминоносный витаминоносное
встречаемость встречаемость
встречаться встречается
второй вторая
высота высота
вяжущий вяжущим
гемикриптофит гемикриптофит
гипогликемический гипогликемическими
государственный государственного
гусев гусев
действие действия
докучаев докучаева
друг друга
дубильный дубильные
европейский европейской
жизненный жизненная
завязь завязь
зелёный зеленая зелёной
земляника земляника земляники
земляничина земляничина
зимнезелёный зимнезеленый
известие известия
изд изд
информация информации
июнь июнь
кадир кадиров
казан казан
казань казань
карта карта
кислота кислоты
кмк кмк
корневище корневище
короткий короткие
кровоостанавливающий кровоостанавливающее кровоостанавливающим
ламбертианин ламбертианин
легенда легенда
лепесток лепестки
лес лесов
летний летне
лист листья листьях
листочек листочки
литература литература
луг лугам
лёгкий легким
маевский маевский
май мая
маленький маленьком
мг мг
микроэлемент микроэлементы
многолетник многолетник
многоорешек многоорешек
морфологический морфологическая
мочегонное мочегонное мочегонным
надземностолонный надземностолонный
название названия
наличие наличие
научий науч
немерешина немерешина
обладать обладающие
ограничение ограничений
оксиэтил оксиэтил
опушка опушкам
орган органы
организм организм
оренбургский оренбургского
остепненный остепненным
перекрывать перекрывают
пестиковый пестиков
петров петрова
плод плод плоды
плодоносить плодоносящее
половина половина
полоса полосы
послаблять послабляющим
предуралья предуралья
предыдущий предыдущее
прикорневой прикорневой
применение применение
применяться применяются
присутствовать присутствуют
противовоспалительный противовоспалительное противовоспалительным
пыление пыления
ранозаживляющий ранозаживляющее ранозаживляющим
распространение распространения
растение растение растений растения растениях
редко редко
рогов рогова
розетка розетке
розовый розовые
россия россии
рыхлый рыхлые
сбор сбора
свойство свойствами
семейство семейство
сидячий сидячие
ситниковый ситников
склон склонам
следующий следующее
смотреть см
содержание содержание
содержать содержат
состав состав
сосудистый сосудистые
соцветие соцветия
спорадически спорадически
спороношение спороношения
средний средней
стебель стебель
сырой сырого
татарстан татарстана
тип тип
тов тов
толстый толстое
тонкий тонкий
травянистый травянистый
триметилааммония триметилааммония
тройчатый тройчатые
тычинка тычинок
уна ун
университет университета
ус усы
фенолкарбоновый фенолкарбоновые
фитохимический фитохимический
флора флора
форма форма
фотограф фотограф
характеристика характеристика
холин холин холина
цветение цветения
цветок цветки
часть части
черешок черешке
щитковидный щитковидные
эллагитаннин эллагитаннины
южный южного
яйцевидный яйцевидные
